Survey,Telescope,Survey Year,CentreFreq (Mhz),Bandwidth (Mhz),ChannelWidth (Khz),Channels,Sampling (micro sec),Integration time (secs),Beams,Pointings,Region,Square Degrees,Samples per second (sample rate * channels),Bits (per sample),Data rate^-1(MB),Data Total (GB),DM Trials,DM Trial Lower Lim cm-3,DM Trial Upper Lim cm-3,Candidates,Notes
1st Cambridge Survey,Interplanetary Scintillation Array,1967,81.5,1,?,?,100000,?,?,?,Whole sky -8° > δ > 44°,?,?,?,?,?,?,?,?,?,
1st Molonglo Survey,Molonglo,1968,408,4,2000,2,5000,15,1,?,"|b| < 10°, |b| > 10°",22980,400,?,?,?,?,?,?,?,Square degree value obtained from Manchester:1978:rl
Search at low galactic latitudes,Jodrell Bank,1969,408,4,?,?,50000,819,1,431,"b=−1, b=0, b=+1° and 11° ≤ l ≤ 125°. ",?,?,?,?,?,?,?,?,?,Survey year estimated from publication date and other information. Reports 2^14 samples.
Arecibo Survey 1,Arecibo,197?,430,8,250,32,5600,198,1,1909.09091,"-5° ≤ b ≤ 5° and 35° ≤ l ≤ 75°, 170° ≤ l ≤ 210°",52,5714.2857142857,?,?,?,64,0,1240,?,0.5 sq degrees searched per hour. Pointings derived from Sq degrees searched & fact that a point in the sky remained in the beam for 3.3 minutes.
Jodrell Survey A,Jodrell Bank,1972,408,4,2000,2,40000,660,1,?,-10° ≤ b ≤ 10° and 0° ≤ l ≤ 200°,~4924,50,?,?,?,?,0,~500,?,1.5 sr searched
2nd Molonglo Survey,Molonglo,1977,408,4,800,4,20000,44.7,11,?,-85° < δ < +20°,~27576,200,4,?,?,?,0,130/520/800,2500,8.4 sr searched. 105 days of total observations.
Green Bank Northern Hemisphere Survey,Green Bank,1977,400,16,2000,8,16700,144,?,?,δ > +20°,?,479.0419161677,?,?,?,8,0,120,?,
Princeton-NRAO Survey,Arecibo,1982-83,390,16,2000,8,5555.56555556,138,24000,?,δ≥-18°,~5909,1439.9974080035,3,?,?,8,0,117,?,1000 computer tapes.
Green Bank short-period survey,Green Bank,1983,390,8,250,32,2000,132,?,?,|b| < 15° and 15° < l < 230°,~3725,16000,3,?,?,?,?,?,?,
Jodrell Survey B,Jodrell Bank,1983-84,1400,40,5000,8,2000,540,?,?,|b| < 1° and -4° ≤ l ≤ 105°,200,4000,3,?,?,?,0,17000,?,
Arecibo survey 2 (a) – Phase II Princeton-NRAO,Green Bank,1983,390,8,250,32,2000,132,1,14195,δ≥-18°,~3725,16000,3,?,?,?,?,?,5405,2x10^6 combinations of period and DM tried.
Arecibo survey 2 (b),Arecibo,1984-85,430,0.96,60,16,300,39,1,12830,|b| < 10° and 40° < l < 65°,289,53333.3333333333,3,?,?,?,?,?,?,2x10^6 combinations of period and DM tried.
Survey for millisecond pulsars at Molonglo,Molonglo,1885-86,843,3.2,200,16,500,132,1,7000,"-1° < |b| < +1° , 255° < l <360°",210,32000,?,?,?,12,11/175,400/1750,?,
Jodrell Survey C (610 MHz),Jodrell Bank,1985-87,610,4/8,125/250,32,300,79,1,?,"Region furthest from Galactic centre, northern galactic plane",~1500,106666.666666667,1,?,?,39,32/64/85,373/746/995,?,
Jodrell Survey C (925 MHz),Jodrell Bank,1985-87,925,8,250,32,300,79,1,?,?,see above,106666.666666667,1,?,?,39,114,1430,?,
Jodrell Survey C (928 MHz),Jodrell Bank,1985-87,928,8,250,32,300,79,1,?,1° < |b| < 2°,see above,106666.666666667,1,?,?,39,114,1430,?,
Jodrell Survey C (1420 MHz),Jodrell Bank,1985-87,1420,32,1000,32,300,79,1,?," |b| < 1°, 0° < l < 60°",see above,106666.666666667,1,?,?,39,104,1770,?,
Parkes 20-cm Survey (System I),Parkes,1988,1434,800,1000,80,300,78.6,?,?,|b| < 4° and 20° ≤ l ≤ 270°,800,266666.666666667,1,?,?,100,0,2000,150000,
Parkes 20-cm Survey (System II),Parkes,1988,1520,320,5000,64,1200,157.3,?,?,|b| < 4° and 20° ≤ l ≤ 270°,800,53333.3333333333,1,?,?,100,0,3000,150000,
Arecibo 430 MHz Intermediate Galactic Latitude Survey,Arecibo,1989-91,430,10,78.125,128,506.625,66.4,1,6121,7° < |b| < 20°,130,252652.356279299,?,?,?,163,0,200,?,"113 survey hours, each pointing was 2^17 samples"
High Galactic Latitude Pulsar Survey of the Arecibo Sky (H1),Arecibo,1990,430,10,250,128,506,~40,?,~91000,Primarily covering northern latitudes |b| > 15° to the Galactic pole (H1-H5),146,252964.42687747,4,?,?,64,0,50,?,"91,000 points on sky observed during H1 to H5."
